temp_bin,hours,demand_mean,demand_p10,demand_p90
-1,399,29431.882205513786,23291.8,37456.799999999996
0,991,28837.065590312814,22795.0,37600.0
1,1845,28262.682746160794,22438.2,36476.4
2,2732,28049.80328818936,21775.1,36616.1
3,3623,28429.26593982887,21974.8,37016.0
4,4967,28337.284745990204,21813.0,37082.40000000001
5,6309,28247.002351138588,21697.8,36817.0
6,7351,28393.499274475125,21584.0,36809.0
7,8157,28503.91305014098,21463.333333333332,36425.600000000006
8,8501,28799.05005293495,21516.0,36290.0
9,8700,28632.450095785443,21428.9,35824.1
10,8664,28439.131098030164,21226.5,35252.7
11,8358,28037.696817420434,21058.1,34599.9
12,8218,27670.030846921392,21296.7,33900.3
13,7703,27151.674091263147,21124.4,33083.8
14,7322,26869.946667577165,21351.1,32409.600000000002
15,7268,26560.728992386717,21328.8,31912.9
16,7262,26458.609623152486,21551.6,31703.800000000003
17,7393,26506.57280986519,21903.0,31590.916666666668
18,7415,26623.532423016408,22261.4,31511.800000000003
19,7104,26975.290833802555,22410.5,31723.7
20,6565,27559.67976643818,22974.2,32194.0
21,5685,28073.86181471709,23404.2,32658.0
22,5096,28866.689217032967,23976.5,33268.5
23,4449,29340.843054619014,24386.6,33773.0
24,3986,29979.469100183975,24943.0,34286.0
25,3634,30639.21271326362,25542.0,34876.7
26,3308,31136.97853688029,25876.600000000002,35518.5
27,2919,31586.767386091127,26210.8,35920.4
28,2549,32041.635151039623,26618.4,36447.2
29,2193,32354.068399452804,26767.2,36723.6
30,1704,32809.80751173709,27282.4,37285.0
31,1212,32948.78217821782,27177.3,37743.1
32,761,33698.296977660975,28078.0,37968.0
33,399,33896.380952380954,29002.6,38027.2
34,226,34224.818584070796,29606.5,38324.5
